DATE,DIS
2003-04-01,557.658
2003-07-01,599.846
2003-10-01,588.23
2004-01-01,582.144
2004-04-01,631.168
2004-07-01,656.865
2004-10-01,632.375
2005-01-01,635.268
2005-04-01,662.007
2005-07-01,705.288
2005-10-01,668.002
2006-01-01,675.109
2006-04-01,707.268
2006-07-01,713.201
2006-10-01,656.834
2007-01-01,646.864
2007-04-01,681.801
2007-07-01,700.022
2007-10-01,655.45
2008-01-01,649.914
2008-04-01,626.352
2008-07-01,636.633
2008-10-01,550.012
2009-01-01,474.572
2009-04-01,454.691
2009-07-01,500.238
2009-10-01,512.468
2010-01-01,495.672
2010-04-01,547.546
2010-07-01,605.714
2010-10-01,567.545
2011-01-01,556.714
2011-04-01,568.702
2011-07-01,620.52
2011-10-01,616.192
2012-01-01,637.435
2012-04-01,644.378
2012-07-01,697.988
2012-10-01,641.953
2013-01-01,659.182
2013-04-01,679.22
2013-07-01,752.936
2013-10-01,710.135
2014-01-01,693.143
2014-04-01,724.014
2014-07-01,795.722
2014-10-01,746.32
2015-01-01,751.503
2015-04-01,787.302
2015-07-01,823.664
2015-10-01,759.285
2016-01-01,745.358
2016-04-01,773.161
2016-07-01,801.621
2016-10-01,769.774
2017-01-01,736.242
2017-04-01,807.973
2017-07-01,853.607
2017-10-01,818.169
2018-01-01,802.699
2018-04-01,838.865
2018-07-01,896.454
2018-10-01,860.881
2019-01-01,843.663
2019-04-01,880.136
2019-07-01,916.195
2019-10-01,852.694
2020-01-01,832.364
2020-04-01,711.158
2020-07-01,888.216
2020-10-01,874.734
2021-01-01,845.101
2021-04-01,862.05
2021-07-01,933.952
2021-10-01,961.893
2022-01-01,935.515
2022-04-01,930.582
2022-07-01,950.8
2022-10-01,915.562
2023-01-01,871.142
